"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1466","Пользователь может успешно авторизоваться","chromium","Mon Dec 16 17:12:22 GMT 2024","passed","Mon Dec 16 17:12:23 GMT 2024","Тесты на профиль пользователя","","",""
"","1795","Пользователь редактирует текст статьи","chromium","Mon Dec 16 17:12:28 GMT 2024","passed","Mon Dec 16 17:12:29 GMT 2024","Тесты на статьи пользователя","","",""
"","1885","Пользователь редактирует название статьи","chromium","Mon Dec 16 17:12:33 GMT 2024","passed","Mon Dec 16 17:12:35 GMT 2024","Тесты на статьи пользователя","","",""
"","1169","Пользователь может добавить фото","chromium","Mon Dec 16 17:12:18 GMT 2024","passed","Mon Dec 16 17:12:19 GMT 2024","Тесты на профиль пользователя","","",""
"","1073","Пользователь может успешно выйти из системы","chromium","Mon Dec 16 17:12:23 GMT 2024","passed","Mon Dec 16 17:12:24 GMT 2024","Тесты на профиль пользователя","","",""
"","1799","Пользователь редактирует название статьи","chromium","Mon Dec 16 17:12:26 GMT 2024","passed","Mon Dec 16 17:12:28 GMT 2024","Тесты на статьи пользователя","","",""
"","1125","Пользователь может изменить email","chromium","Mon Dec 16 17:12:20 GMT 2024","passed","Mon Dec 16 17:12:22 GMT 2024","Тесты на профиль пользователя","","",""
"","1848","Проверка того, что невозможно отредактировать тег (после изменения остается старый тег)","chromium","Mon Dec 16 17:12:37 GMT 2024","passed","Mon Dec 16 17:12:38 GMT 2024","Тесты на статьи пользователя","","",""
"","1962","Проверка того, что невозможно отредактировать тег (после изменения остается старый тег)","chromium","Mon Dec 16 17:12:29 GMT 2024","passed","Mon Dec 16 17:12:31 GMT 2024","Тесты на статьи пользователя","","",""
"","1595","Пользователь публикует статью","chromium","Mon Dec 16 17:12:24 GMT 2024","passed","Mon Dec 16 17:12:26 GMT 2024","Тесты на статьи пользователя","","",""
"","1171","Пользователь может изменить bio. Page Object - junior version","chromium","Mon Dec 16 17:12:38 GMT 2024","passed","Mon Dec 16 17:12:40 GMT 2024","Builder ","","",""
"","1333","Пользователь может изменить bio","chromium","Mon Dec 16 17:12:17 GMT 2024","passed","Mon Dec 16 17:12:18 GMT 2024","Тесты на профиль пользователя","","",""
"","1537","Пользователь публикует статью","chromium","Mon Dec 16 17:12:31 GMT 2024","passed","Mon Dec 16 17:12:33 GMT 2024","Тесты на статьи пользователя","","",""
"","1077","Пользователь может изменить имя","chromium","Mon Dec 16 17:12:19 GMT 2024","passed","Mon Dec 16 17:12:20 GMT 2024","Тесты на профиль пользователя","","",""
"","1810","Пользователь редактирует текст статьи","chromium","Mon Dec 16 17:12:35 GMT 2024","passed","Mon Dec 16 17:12:37 GMT 2024","Тесты на статьи пользователя","","",""
