"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","DELETE /posts/1","api","Tue Dec 17 19:48:22 GMT 2024","passed","Tue Dec 17 19:48:22 GMT 2024","Функциональные API тесты","","",""
"","27","GET /comments","api","Tue Dec 17 19:48:21 GMT 2024","passed","Tue Dec 17 19:48:21 GMT 2024","Функциональные API тесты","","",""
"","1055","Проверка невозможности редактирования тега","chromium","Tue Dec 17 19:48:19 GMT 2024","passed","Tue Dec 17 19:48:20 GMT 2024","Тесты на статьи пользователя","","",""
"","848","Успешная авторизация пользователя","chromium","Tue Dec 17 19:48:14 GMT 2024","passed","Tue Dec 17 19:48:15 GMT 2024","Тесты на профиль пользователя","","",""
"","762","Изменение имени пользователя","chromium","Tue Dec 17 19:48:13 GMT 2024","passed","Tue Dec 17 19:48:14 GMT 2024","Тесты на профиль пользователя","","",""
"","2024","Изменение Bio пользователя","chromium","Tue Dec 17 19:48:10 GMT 2024","passed","Tue Dec 17 19:48:12 GMT 2024","Тесты на профиль пользователя","","",""
"","158","GET /posts","api","Tue Dec 17 19:48:21 GMT 2024","passed","Tue Dec 17 19:48:21 GMT 2024","Функциональные API тесты","","",""
"","760","Изменение email пользователя","chromium","Tue Dec 17 19:48:14 GMT 2024","passed","Tue Dec 17 19:48:14 GMT 2024","Тесты на профиль пользователя","","",""
"","712","Добавление фото пользователя","chromium","Tue Dec 17 19:48:12 GMT 2024","passed","Tue Dec 17 19:48:13 GMT 2024","Тесты на профиль пользователя","","",""
"","35","POST /comments","api","Tue Dec 17 19:48:21 GMT 2024","passed","Tue Dec 17 19:48:21 GMT 2024","Функциональные API тесты","","",""
"","1155","Редактирование названия статьи","chromium","Tue Dec 17 19:48:17 GMT 2024","passed","Tue Dec 17 19:48:18 GMT 2024","Тесты на статьи пользователя","","",""
"","1219","Редактирование текста статьи","chromium","Tue Dec 17 19:48:18 GMT 2024","passed","Tue Dec 17 19:48:19 GMT 2024","Тесты на статьи пользователя","","",""
"","37","POST /posts","api","Tue Dec 17 19:48:21 GMT 2024","passed","Tue Dec 17 19:48:21 GMT 2024","Функциональные API тесты","","",""
"","1076","Публикация статьи пользователем","chromium","Tue Dec 17 19:48:16 GMT 2024","passed","Tue Dec 17 19:48:17 GMT 2024","Тесты на статьи пользователя","","",""
"","606","Успешный выход из системы","chromium","Tue Dec 17 19:48:15 GMT 2024","passed","Tue Dec 17 19:48:16 GMT 2024","Тесты на профиль пользователя","","",""
"","343","PUT /posts/1","api","Tue Dec 17 19:48:21 GMT 2024","passed","Tue Dec 17 19:48:22 GMT 2024","Функциональные API тесты","","",""
