"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","108","DELETE /posts/1","api","Tue Dec 17 17:17:48 GMT 2024","passed","Tue Dec 17 17:17:48 GMT 2024","Функциональные API тесты","","",""
"","1141","Пользователь может изменить email","chromium","Tue Dec 17 17:17:35 GMT 2024","passed","Tue Dec 17 17:17:36 GMT 2024","Тесты на профиль пользователя","","",""
"","35","GET /comments","chromium","Tue Dec 17 17:17:31 GMT 2024","passed","Tue Dec 17 17:17:31 GMT 2024","Функциональные API тесты","","",""
"","106","POST /comments","chromium","Tue Dec 17 17:17:31 GMT 2024","passed","Tue Dec 17 17:17:31 GMT 2024","Функциональные API тесты","","",""
"","1504","Пользователь публикует статью","chromium","Tue Dec 17 17:17:39 GMT 2024","passed","Tue Dec 17 17:17:41 GMT 2024","Тесты на статьи пользователя","","",""
"","100","DELETE /posts/1","chromium","Tue Dec 17 17:17:31 GMT 2024","passed","Tue Dec 17 17:17:31 GMT 2024","Функциональные API тесты","","",""
"","51","GET /comments","api","Tue Dec 17 17:17:47 GMT 2024","passed","Tue Dec 17 17:17:47 GMT 2024","Функциональные API тесты","","",""
"","112","POST /comments","api","Tue Dec 17 17:17:47 GMT 2024","passed","Tue Dec 17 17:17:47 GMT 2024","Функциональные API тесты","","",""
"","255","POST /posts","api","Tue Dec 17 17:17:47 GMT 2024","passed","Tue Dec 17 17:17:47 GMT 2024","Функциональные API тесты","","",""
"","1912","Пользователь редактирует текст статьи","chromium","Tue Dec 17 17:17:42 GMT 2024","passed","Tue Dec 17 17:17:44 GMT 2024","Тесты на статьи пользователя","","",""
"","106","PUT /posts/1","api","Tue Dec 17 17:17:47 GMT 2024","passed","Tue Dec 17 17:17:48 GMT 2024","Функциональные API тесты","","",""
"","1142","Пользователь может изменить имя","chromium","Tue Dec 17 17:17:34 GMT 2024","passed","Tue Dec 17 17:17:35 GMT 2024","Тесты на профиль пользователя","","",""
"","1575","Пользователь может изменить Bio","chromium","Tue Dec 17 17:17:31 GMT 2024","passed","Tue Dec 17 17:17:33 GMT 2024","Тесты на профиль пользователя","","",""
"","1887","Проверка того, что невозможно отредактировать тег (после изменения остается старый тег)","chromium","Tue Dec 17 17:17:44 GMT 2024","passed","Tue Dec 17 17:17:46 GMT 2024","Тесты на статьи пользователя","","",""
"","1180","Пользователь может успешно выйти из системы","chromium","Tue Dec 17 17:17:38 GMT 2024","passed","Tue Dec 17 17:17:39 GMT 2024","Тесты на профиль пользователя","","",""
"","248","POST /posts","chromium","Tue Dec 17 17:17:30 GMT 2024","passed","Tue Dec 17 17:17:31 GMT 2024","Функциональные API тесты","","",""
"","128","GET /posts","api","Tue Dec 17 17:17:47 GMT 2024","passed","Tue Dec 17 17:17:47 GMT 2024","Функциональные API тесты","","",""
"","238","PUT /posts/1","chromium","Tue Dec 17 17:17:31 GMT 2024","passed","Tue Dec 17 17:17:31 GMT 2024","Функциональные API тесты","","",""
"","1901","Пользователь редактирует название статьи","chromium","Tue Dec 17 17:17:41 GMT 2024","passed","Tue Dec 17 17:17:42 GMT 2024","Тесты на статьи пользователя","","",""
"","1633","Пользователь может успешно авторизоваться","chromium","Tue Dec 17 17:17:36 GMT 2024","passed","Tue Dec 17 17:17:38 GMT 2024","Тесты на профиль пользователя","","",""
"","155","GET /posts","chromium","Tue Dec 17 17:17:30 GMT 2024","passed","Tue Dec 17 17:17:30 GMT 2024","Функциональные API тесты","","",""
"","1129","Пользователь может добавить фото","chromium","Tue Dec 17 17:17:33 GMT 2024","passed","Tue Dec 17 17:17:34 GMT 2024","Тесты на профиль пользователя","","",""
