"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","993","Проверка невозможности редактирования тега","chromium","Tue Dec 17 19:58:00 GMT 2024","passed","Tue Dec 17 19:58:01 GMT 2024","Тесты на статьи пользователя","","",""
"","580","Успешный выход из системы","chromium","Tue Dec 17 19:57:56 GMT 2024","passed","Tue Dec 17 19:57:57 GMT 2024","Тесты на профиль пользователя","","",""
"","41","POST /comments","api","Tue Dec 17 19:58:02 GMT 2024","passed","Tue Dec 17 19:58:02 GMT 2024","Функциональные API тесты","","",""
"","1200","Изменение Bio пользователя","chromium","Tue Dec 17 19:57:52 GMT 2024","passed","Tue Dec 17 19:57:53 GMT 2024","Тесты на профиль пользователя","","",""
"","694","Изменение email пользователя","chromium","Tue Dec 17 19:57:55 GMT 2024","passed","Tue Dec 17 19:57:55 GMT 2024","Тесты на профиль пользователя","","",""
"","78","POST /posts","api","Tue Dec 17 19:58:02 GMT 2024","passed","Tue Dec 17 19:58:02 GMT 2024","Функциональные API тесты","","",""
"","782","Успешная авторизация пользователя","chromium","Tue Dec 17 19:57:55 GMT 2024","passed","Tue Dec 17 19:57:56 GMT 2024","Тесты на профиль пользователя","","",""
"","196","GET /posts","api","Tue Dec 17 19:58:01 GMT 2024","passed","Tue Dec 17 19:58:02 GMT 2024","Функциональные API тесты","","",""
"","758","Изменение имени пользователя","chromium","Tue Dec 17 19:57:54 GMT 2024","passed","Tue Dec 17 19:57:55 GMT 2024","Тесты на профиль пользователя","","",""
"","31","DELETE /posts/1","api","Tue Dec 17 19:58:02 GMT 2024","passed","Tue Dec 17 19:58:02 GMT 2024","Функциональные API тесты","","",""
"","28","GET /comments","api","Tue Dec 17 19:58:02 GMT 2024","passed","Tue Dec 17 19:58:02 GMT 2024","Функциональные API тесты","","",""
"","995","Редактирование названия статьи","chromium","Tue Dec 17 19:57:58 GMT 2024","passed","Tue Dec 17 19:57:59 GMT 2024","Тесты на статьи пользователя","","",""
"","961","Публикация статьи пользователем","chromium","Tue Dec 17 19:57:57 GMT 2024","passed","Tue Dec 17 19:57:58 GMT 2024","Тесты на статьи пользователя","","",""
"","95","PUT /posts/1","api","Tue Dec 17 19:58:02 GMT 2024","passed","Tue Dec 17 19:58:02 GMT 2024","Функциональные API тесты","","",""
"","777","Добавление фото пользователя","chromium","Tue Dec 17 19:57:53 GMT 2024","passed","Tue Dec 17 19:57:54 GMT 2024","Тесты на профиль пользователя","","",""
"","1147","Редактирование текста статьи","chromium","Tue Dec 17 19:57:59 GMT 2024","passed","Tue Dec 17 19:58:00 GMT 2024","Тесты на статьи пользователя","","",""
